family,eval_id,hf_repo,size_b,variant,ollama_tag_hint,notes
llama3.1,llama3.1:8b-instruct,meta-llama/Llama-3.1-8B-Instruct,8,instruct,8b-instruct,Primary HF card for 8B instruct
llama3.1,llama3.1:70b-instruct,meta-llama/Llama-3.1-70B-Instruct,70,instruct,70b-instruct,MMLU-Pro prefer HF 66.4 over NIM 65.1
gemma3,gemma3:27b-it,google/gemma-3-27b-it,27,instruct,27b-it,Gemma 3 model card
gemma3,gemma3:12b-it,google/gemma-3-12b-it,12,instruct,12b-it,
gemma3,gemma3:4b-it,google/gemma-3-4b-it,4,instruct,4b-it,
gemma3,gemma3:1b-it,google/gemma-3-1b-it,1,instruct,1b-it,
qwen2.5,qwen2.5:7b-instruct,Qwen/Qwen2.5-7B-Instruct,7,instruct,7b-instruct,Qwen2.5 blog table
qwen2.5,qwen2.5:14b-instruct,Qwen/Qwen2.5-14B-Instruct,14,instruct,14b-instruct,
qwen2.5,qwen2.5:32b-instruct,Qwen/Qwen2.5-32B-Instruct,32,instruct,32b-instruct,
deepseek-r1,deepseek-r1:32b-qwen-distill,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,32,distill,32b-qwen-distill,Distill table on HF model card
deepseek-r1,deepseek-r1:14b-qwen-distill,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,14,distill,14b-qwen-distill,
deepseek-r1,deepseek-r1:7b-qwen-distill,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,7,distill,7b-qwen-distill,
deepseek-r1,deepseek-r1:1.5b-qwen-distill,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,1.5,distill,1.5b-qwen-distill,
deepseek-r1,deepseek-r1:8b-llama-distill,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,8,distill,8b-llama-distill,
deepseek-r1,deepseek-r1:70b-llama-distill,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,70,distill,70b-llama-distill,
phi4,phi4:14b,microsoft/phi-4,14,instruct,14b,Phi-4 arXiv table
llama3.2,llama3.2:1b-instruct,meta-llama/Llama-3.2-1B-Instruct,1,instruct,1b-instruct,Meta model card
llama3.2,llama3.2:3b-instruct,meta-llama/Llama-3.2-3B-Instruct,3,instruct,3b-instruct,
llama3.3,llama3.3:70b-instruct,meta-llama/Llama-3.3-70B-Instruct,70,instruct,70b-instruct,
llama4,llama4:scout-17b-instruct,meta-llama/Llama-4-Scout-17B-16E-Instruct,17,instruct,scout,
llama4,llama4:maverick-17b-instruct,meta-llama/Llama-4-Maverick-17B-128E-Instruct,17,instruct,maverick,
qwen3,qwen3:8b-instruct,Qwen/Qwen3-8B,8,instruct,8b,Non-thinking
qwen3,qwen3:14b-instruct,Qwen/Qwen3-14B,14,instruct,14b,Non-thinking
qwen3,qwen3:32b-instruct,Qwen/Qwen3-32B,32,instruct,32b,Non-thinking
qwen3,qwen3:235b-a22b-instruct,Qwen/Qwen3-235B-A22B,235,instruct,235b-a22b,Non-thinking MoE
qwen3.5,qwen3.5:122b-a10b-instruct,Qwen/Qwen3.5-122B-A10B,122,instruct,122b-a10b,HF README table
qwen3.5,qwen3.5:27b-instruct,Qwen/Qwen3.5-27B,27,instruct,27b,HF README table
qwen2.5-coder,qwen2.5-coder:7b-instruct,Qwen/Qwen2.5-Coder-7B-Instruct,7,instruct,7b-instruct,
qwen2.5-coder,qwen2.5-coder:14b-instruct,Qwen/Qwen2.5-Coder-14B-Instruct,14,instruct,14b-instruct,
qwen2.5-coder,qwen2.5-coder:32b-instruct,Qwen/Qwen2.5-Coder-32B-Instruct,32,instruct,32b-instruct,
gemma2,gemma2:2b-it,google/gemma-2-2b-it,2,instruct,2b-it,
gemma2,gemma2:9b-it,google/gemma-2-9b-it,9,instruct,9b-it,
gemma2,gemma2:27b-it,google/gemma-2-27b-it,27,instruct,27b-it,
phi4-mini,phi4-mini:3.8b-instruct,microsoft/phi-4-mini-instruct,3.8,instruct,3.8b,
phi4-reasoning,phi4-reasoning:14b,microsoft/Phi-4-reasoning,14,instruct,14b,
phi4-reasoning,phi4-reasoning:14b-plus,microsoft/Phi-4-reasoning-plus,14,instruct,14b-plus,
mistral,mistral:7b-instruct,mistralai/Mistral-7B-Instruct-v0.3,7,instruct,7b-instruct,Base paper scores
mixtral,mixtral:8x7b-instruct,mistralai/Mixtral-8x7B-Instruct-v0.1,47,instruct,8x7b-instruct-v0.1,
mixtral,mixtral:8x22b-instruct,mistralai/Mixtral-8x22B-Instruct-v0.1,141,instruct,8x22b-instruct-v0.1,
devstral,devstral:24b-instruct,mistralai/Devstral-Small-2505,24,instruct,24b-small-2505,
olmo2,olmo2:7b-instruct,allenai/OLMo-2-1124-7B-Instruct,7,instruct,7b-1124-instruct,
olmo2,olmo2:13b-instruct,allenai/OLMo-2-1124-13B-Instruct,13,instruct,13b-1124-instruct,
granite3.3,granite3.3:2b-instruct,ibm-granite/granite-3.3-2b-instruct,2,instruct,2b,
granite3.3,granite3.3:8b-instruct,ibm-granite/granite-3.3-8b-instruct,8,instruct,8b,
qwq,qwq:32b-reasoning,Qwen/QwQ-32B,32,instruct,32b,Reasoning model
